,filename,width,height,class,xmin,ymin,xmax,ymax
0,lawson_35.744331_139.925114_120.png,640,640,lawson,383,272,640,328
1,7-eleven_35.7040431_139.6634282_60.png,640,640,7_eleven,1,162,277,298
2,7-eleven_35.7040431_139.6634282_60.png,640,640,7_eleven,96,329,128,365
3,7-eleven_35.7040431_139.6634282_60.png,640,640,7_eleven,556,110,616,176
4,lawson_35.7040348_139.6135523_300.png,640,640,lawson,1,255,123,313
5,lawson_35.7040348_139.6135523_300.png,640,640,lawson,104,311,128,340
6,family mart_35.6138734_139.691633_60.png,640,640,family_mart,451,95,504,143
7,lawson_35.508519_139.624814_180.png,640,640,lawson,292,202,638,327
8,lawson_35.76936000000001_139.844856_0.png,640,640,lawson,92,216,299,319
9,lawson_35.76936000000001_139.844856_0.png,640,640,lawson,168,336,209,386
10,lawson_35.5146285_139.62415_60.png,640,640,lawson,1,1,65,49
11,7-eleven_35.6362321_139.5885993_240.png,640,640,7_eleven,1,259,321,309
12,7-eleven_35.6362321_139.5885993_240.png,640,640,7_eleven,442,245,484,304
13,family mart_35.629286_139.7126956_240.png,640,640,family_mart,16,262,473,307
14,family mart_35.629286_139.7126956_240.png,640,640,family_mart,14,1,85,109
15,lawson_35.644806_139.722801_0.png,640,640,lawson,344,262,590,300
16,lawson_35.670545_139.894334_0.png,640,640,lawson,2,279,180,321
17,lawson_35.55375_139.713002_300.png,640,640,lawson,8,252,640,327
18,family mart_35.575205600000004_139.710933_60.png,640,640,family_mart,1,276,85,312
19,family mart_35.575205600000004_139.710933_60.png,640,640,family_mart,195,246,215,274
20,lawson_35.7173307_139.8568421_60.png,640,640,lawson,1,222,150,312
21,family mart_35.6536544_139.90297019999997_180.png,640,640,family_mart,219,289,404,331
22,family mart_35.6536544_139.90297019999997_180.png,640,640,family_mart,536,183,590,227
23,lawson_35.653168_139.6892471_300.png,640,640,lawson,476,307,579,341
24,lawson_35.653168_139.6892471_300.png,640,640,lawson,599,343,632,372
25,lawson_35.5370078_139.6333643_300.png,640,640,lawson,64,233,282,319
26,lawson_35.6391583_139.5977497_180.png,640,640,lawson,107,269,254,307
27,lawson_35.6391583_139.5977497_180.png,640,640,lawson,6,365,45,393
28,7-eleven_35.65584940000001_139.7007_120.png,640,640,7_eleven,1,224,228,329
29,lawson_35.5631959_139.7185341_60.png,640,640,lawson,189,235,639,327
30,lawson_35.5631959_139.7185341_60.png,640,640,lawson,225,338,248,358
31,lawson_35.753935_139.798145_60.png,640,640,lawson,404,227,639,320
32,lawson_35.702584_139.941464_60.png,640,640,lawson,1,227,309,307
33,7-eleven_35.6342787_139.7131961_180.png,640,640,7_eleven,220,298,332,324
34,lawson_35.716943_139.859579_0.png,640,640,lawson,33,295,358,331
35,lawson_35.716943_139.859579_0.png,640,640,lawson,352,306,371,324
36,lawson_35.6528285_139.7475803_0.png,640,640,lawson,399,298,577,329
37,lawson_35.6528285_139.7475803_0.png,640,640,lawson,579,292,599,314
38,lawson_35.660193_139.522473_0.png,640,640,lawson,1,260,321,327
39,lawson_35.7457059_139.7203224_60.png,640,640,lawson,54,266,320,316
40,lawson_35.696086_139.992035_240.png,640,640,lawson,417,275,639,322
41,lawson_35.729644_139.593431_180.png,640,640,lawson,147,305,323,335
42,7-eleven_35.6531123_139.7358701_60.png,640,640,7_eleven,1,224,301,323
43,7-eleven_35.6531123_139.7358701_60.png,640,640,7_eleven,303,222,325,250
44,lawson_35.753935_139.798145_120.png,640,640,lawson,184,279,495,324
45,lawson_35.6788639_139.7103134_240.png,640,640,lawson,433,227,638,329
46,lawson_35.519197_139.705924_0.png,640,640,lawson,230,302,442,325
47,lawson_35.711907_139.705287_120.png,640,640,lawson,112,309,333,340
48,family mart_35.7053583_139.66421119999998_240.png,640,640,family_mart,354,229,520,288
49,family mart_35.7053583_139.66421119999998_240.png,640,640,family_mart,274,215,639,302
50,lawson_35.722563_139.77776_240.png,640,640,lawson,354,153,639,300
51,lawson_35.722563_139.77776_240.png,640,640,lawson,330,247,357,277
52,lawson_35.6797008_139.6770609_60.png,640,640,lawson,1,240,330,300
53,lawson_35.6797008_139.6770609_60.png,640,640,lawson,3,336,39,368
54,7-eleven_35.455342_139.62424_240.png,640,640,7_eleven,362,281,639,331
55,lawson_35.5347905_139.6346221_300.png,640,640,lawson,6,281,294,319
56,lawson_35.645066_139.73796_0.png,640,640,lawson,195,293,262,315
57,lawson_35.753935_139.798145_180.png,640,640,lawson,1,227,267,325
58,lawson_35.608784_140.115204_300.png,640,640,lawson,377,258,638,323
59,lawson_35.614331_139.741454_60.png,640,640,lawson,203,241,638,317
60,family mart_35.619803000000005_139.6457064_60.png,640,640,family_mart,98,209,192,267
61,family mart_35.6066085_139.7089244_240.png,640,640,family_mart,309,197,339,245
62,family mart_35.6066085_139.7089244_240.png,640,640,family_mart,1,273,178,315
63,lawson_35.5251483_139.6943742_0.png,640,640,lawson,2,228,151,296
64,lawson_35.5251483_139.6943742_0.png,640,640,lawson,11,121,52,200
65,7-eleven_35.6406312_139.6127296_0.png,640,640,7_eleven,352,235,639,329
66,lawson_35.743111_139.604929_0.png,640,640,lawson,148,274,296,310
67,lawson_35.743111_139.604929_0.png,640,640,lawson,381,255,418,314
68,family mart_35.5236264_139.7129548_120.png,640,640,family_mart,395,276,414,336
69,family mart_35.5236264_139.7129548_120.png,640,640,family_mart,528,334,562,351
70,family mart_35.587944799999995_139.7091855_180.png,640,640,family_mart,1,288,304,324
71,family mart_35.587944799999995_139.7091855_180.png,640,640,family_mart,57,297,112,315
72,family mart_35.587944799999995_139.7091855_180.png,640,640,family_mart,461,320,490,353
73,lawson_35.5888284_139.7338342_300.png,640,640,lawson,1,292,225,323
74,lawson_35.4474879_139.6080948_60.png,640,640,lawson,4,308,256,328
75,lawson_35.4474879_139.6080948_60.png,640,640,lawson,123,339,158,376
76,lawson_35.4474879_139.6080948_60.png,640,640,lawson,94,117,151,168
77,lawson_35.5604848_139.71408_120.png,640,640,lawson,1,289,241,327
78,lawson_35.6623114_139.6968323_300.png,640,640,lawson,345,373,375,465
79,lawson_35.6623114_139.6968323_300.png,640,640,lawson,318,373,343,464
80,lawson_35.6623114_139.6968323_300.png,640,640,lawson,311,351,535,377
81,lawson_35.6623114_139.6968323_300.png,640,640,lawson,498,392,523,419
82,family mart_35.694654799999995_139.7371335_300.png,640,640,family_mart,1,165,218,294
83,family mart_35.694654799999995_139.7371335_300.png,640,640,family_mart,258,261,280,288
84,7-eleven_35.6448879_139.4977506_60.png,640,640,7_eleven,457,10,639,303
85,family mart_35.448688_139.993603_180.png,640,640,family_mart,70,300,264,321
86,lawson_35.6391583_139.5977497_120.png,640,640,lawson,351,265,473,306
87,family mart_35.690814399999994_139.6671921_0.png,640,640,family_mart,421,298,640,322
88,family mart_35.578258500000004_139.55376909999998_180.png,640,640,family_mart,59,279,247,322
89,family mart_35.578258500000004_139.55376909999998_180.png,640,640,family_mart,102,235,134,271
90,family mart_35.578258500000004_139.55376909999998_180.png,640,640,family_mart,97,301,141,314
91,family mart_35.5655366_139.5772976_240.png,640,640,family_mart,359,274,523,322
92,7-eleven_35.6037066_139.7067003_120.png,640,640,7_eleven,1,243,68,303
93,7-eleven_35.6037066_139.7067003_120.png,640,640,7_eleven,58,91,117,154
94,family mart_35.6110342_139.71142319999998_120.png,640,640,family_mart,109,237,401,316
95,family mart_35.6110342_139.71142319999998_120.png,640,640,family_mart,396,79,436,166
96,family mart_35.6110342_139.71142319999998_120.png,640,640,family_mart,275,269,367,300
97,lawson_35.726654_139.746671_120.png,640,640,lawson,487,279,582,321
98,family mart_35.6072304_139.7313897_180.png,640,640,family_mart,337,261,583,305
