,filename,width,height,class,xmin,ymin,xmax,ymax
2256,v01_7eleven_354989534_13940907769999998_120.png,640,640,7_eleven,148,279,327,320
2257,v01_7eleven_354989534_13940907769999998_120.png,640,640,7_eleven,119,286,138,305
2258,v01_7eleven_354989534_13940907769999998_120.png,640,640,7_eleven,252,289,267,308
289,family mart_35.6942924_139.526777_120.png,640,640,family_mart,364,235,620,322
290,family mart_35.6942924_139.526777_120.png,640,640,family_mart,421,284,475,313
2235,v01_7eleven_35249748700000005_1397107596_60.png,640,640,7_eleven,235,302,277,321
365,family mart_35.646286200000006_139.7086875_60.png,640,640,family_mart,385,231,639,329
366,family mart_35.646286200000006_139.7086875_60.png,640,640,family_mart,371,245,394,276
2115,family mart_35.5793743_139.6445319_120.png,640,640,family_mart,156,254,272,324
1761,family mart_35.701427200000005_139.57859009999999_300.png,640,640,family_mart,273,235,640,304
1762,family mart_35.701427200000005_139.57859009999999_300.png,640,640,family_mart,501,264,589,296
1763,family mart_35.701427200000005_139.57859009999999_300.png,640,640,family_mart,616,172,640,218
325,family mart_35.702577000000005_139.5443042_0.png,640,640,family_mart,411,166,639,303
326,family mart_35.702577000000005_139.5443042_0.png,640,640,family_mart,455,227,568,289
888,family mart_35.64899929999999_139.6235634_120.png,640,640,family_mart,2,245,302,324
889,family mart_35.64899929999999_139.6235634_120.png,640,640,family_mart,105,276,202,308
890,family mart_35.64899929999999_139.6235634_120.png,640,640,family_mart,121,328,140,407
1180,family mart_35.566553799999994_139.74275169999999_180.png,640,640,family_mart,2,228,223,311
1181,family mart_35.566553799999994_139.74275169999999_180.png,640,640,family_mart,227,265,248,294
451,7-eleven_35.6035328_139.7082602_60.png,640,640,7_eleven,257,241,639,327
2519,v01_7eleven_35344491999999995_139880578_60.png,640,640,7_eleven,307,265,324,279
2520,v01_7eleven_35344491999999995_139880578_60.png,640,640,7_eleven,1,306,117,326
2043,family mart_35.582997999999996_139.7200571_60.png,640,640,family_mart,1,284,232,325
2044,family mart_35.582997999999996_139.7200571_60.png,640,640,family_mart,141,302,187,317
2250,v01_7eleven_35396569_139311004_240.png,640,640,7_eleven,350,247,370,280
2251,v01_7eleven_35396569_139311004_240.png,640,640,7_eleven,2,271,266,325
2252,v01_7eleven_35396569_139311004_240.png,640,640,7_eleven,245,305,258,323
750,family mart_35.618035_139.7062086_120.png,640,640,family_mart,504,222,639,308
1401,family mart_35.5349909_139.69479040000002_0.png,640,640,family_mart,1,123,195,290
177,family mart_35.688363200000005_139.70295869999998_240.png,640,640,family_mart,14,64,636,253
178,family mart_35.688363200000005_139.70295869999998_240.png,640,640,family_mart,67,162,280,234
179,family mart_35.688363200000005_139.70295869999998_240.png,640,640,family_mart,244,337,275,407
2660,v01_7eleven_35280251_139854538_180.png,640,640,7_eleven,295,63,336,160
2661,v01_7eleven_35280251_139854538_180.png,640,640,7_eleven,316,294,404,323
2291,v01_7eleven_355153665_1393400248_300.png,640,640,7_eleven,22,299,238,327
1843,family mart_35.56090220000001_139.5940929_300.png,640,640,family_mart,383,248,637,324
509,7-eleven_35.619269_139.6748445_60.png,640,640,7_eleven,224,231,631,295
2263,v01_7eleven_35506080499999996_139497976_240.png,640,640,7_eleven,2,270,622,354
2264,v01_7eleven_35506080499999996_139497976_240.png,640,640,7_eleven,199,289,231,327
2265,v01_7eleven_35506080499999996_139497976_240.png,640,640,7_eleven,588,331,601,348
2266,v01_7eleven_35506080499999996_139497976_240.png,640,640,7_eleven,67,398,95,438
2094,family mart_35.6822317_139.57366059999998_60.png,640,640,family_mart,1,152,361,313
834,family mart_35.5126795_139.4221129_180.png,640,640,family_mart,349,229,639,321
835,family mart_35.5126795_139.4221129_180.png,640,640,family_mart,352,221,382,269
2109,family mart_35.5286954_139.6997851_60.png,640,640,family_mart,476,172,635,299
1939,family mart_35.6771129_139.7073217_240.png,640,640,family_mart,343,183,639,323
1940,family mart_35.6771129_139.7073217_240.png,640,640,family_mart,418,252,530,307
1941,family mart_35.6771129_139.7073217_240.png,640,640,family_mart,369,183,404,220
816,family mart_35.5535995_139.5401233_120.png,640,640,family_mart,585,254,639,310
817,family mart_35.5535995_139.5401233_120.png,640,640,family_mart,589,350,620,382
818,family mart_35.5535995_139.5401233_120.png,640,640,family_mart,534,240,573,272
1557,family mart_35.583904499999996_139.63079630000001_180.png,640,640,family_mart,178,242,274,322
195,family mart_35.5536218_139.6461361_120.png,640,640,family_mart,1,267,191,324
196,family mart_35.5536218_139.6461361_120.png,640,640,family_mart,121,260,149,293
197,family mart_35.5536218_139.6461361_120.png,640,640,family_mart,16,285,95,314
198,family mart_35.5536218_139.6461361_120.png,640,640,family_mart,8,326,28,395
2092,family mart_35.5951914_139.6857319_180.png,640,640,family_mart,251,214,536,324
2093,family mart_35.5951914_139.6857319_180.png,640,640,family_mart,307,279,371,311
2611,v01_7eleven_35437394_139361206_120.png,640,640,7_eleven,372,302,634,331
2612,v01_7eleven_35437394_139361206_120.png,640,640,7_eleven,427,309,442,327
2268,v01_7eleven_35294152000000004_139855649_240.png,640,640,7_eleven,356,249,377,271
2269,v01_7eleven_35294152000000004_139855649_240.png,640,640,7_eleven,1,283,167,325
2494,v01_7eleven_35393708000000004_139923274_300.png,640,640,7_eleven,173,309,314,330
2495,v01_7eleven_35393708000000004_139923274_300.png,640,640,7_eleven,447,248,471,275
1466,7-eleven_35.6096632_139.496084_300.png,640,640,7_eleven,1,43,128,231
914,family mart_35.5342652_139.5462886_0.png,640,640,family_mart,463,245,637,314
2496,v01_7eleven_353022328_1399873349_180.png,640,640,7_eleven,273,275,291,296
1722,7-eleven_35.604641_139.685802_0.png,640,640,7_eleven,316,277,526,313
1723,7-eleven_35.604641_139.685802_0.png,640,640,7_eleven,530,129,574,181
2391,v01_7eleven_35447268_139377476_60.png,640,640,7_eleven,111,300,178,322
2392,v01_7eleven_35447268_139377476_60.png,640,640,7_eleven,243,327,256,341
1719,family mart_35.509663_139.42411769999998_0.png,640,640,family_mart,313,200,637,322
1720,family mart_35.509663_139.42411769999998_0.png,640,640,family_mart,351,295,383,314
1698,family mart_35.5377206_139.7505623_240.png,640,640,family_mart,154,261,256,310
1983,7-eleven_35.66991429999999_139.6810832_0.png,640,640,7_eleven,158,236,415,308
764,family mart_35.634732799999995_139.7133677_0.png,640,640,family_mart,199,275,418,313
765,family mart_35.634732799999995_139.7133677_0.png,640,640,family_mart,489,207,511,234
435,family mart_35.648617200000004_139.7500034_120.png,640,640,family_mart,1,222,291,312
436,family mart_35.648617200000004_139.7500034_120.png,640,640,family_mart,1,245,152,288
557,family mart_35.568149_139.73746540000002_60.png,640,640,family_mart,183,264,237,307
2195,v01_7eleven_35502951_139694267_180.png,640,640,7_eleven,395,257,556,299
1481,family mart_35.5652092_139.7134868_60.png,640,640,family_mart,295,211,639,291
1794,family mart_35.5582468_139.697559_120.png,640,640,family_mart,82,290,287,323
1795,family mart_35.5582468_139.697559_120.png,640,640,family_mart,238,304,268,317
454,family mart_35.587944799999995_139.7091855_240.png,640,640,family_mart,238,324,263,357
2246,v01_7eleven_35488625899999995_13962599450000002_0.png,640,640,7_eleven,485,240,638,295
2649,v01_7eleven_355153665_1393400248_240.png,640,640,7_eleven,591,392,615,412
2205,v01_7eleven_35426623_1396661924_300.png,640,640,7_eleven,426,272,547,312
2206,v01_7eleven_35426623_1396661924_300.png,640,640,7_eleven,413,323,439,350
1582,family mart_35.6905702_139.62530780000003_180.png,640,640,family_mart,193,300,280,320
1583,family mart_35.6905702_139.62530780000003_180.png,640,640,family_mart,334,298,375,317
1584,family mart_35.6905702_139.62530780000003_180.png,640,640,family_mart,240,330,253,362
2418,v01_7eleven_35498903999999996_139605694_180.png,640,640,7_eleven,349,310,363,331
2419,v01_7eleven_35498903999999996_139605694_180.png,640,640,7_eleven,1,296,162,325
2420,v01_7eleven_35498903999999996_139605694_180.png,640,640,7_eleven,29,303,49,322
155,7-eleven_35.601498_139.585968_300.png,640,640,7_eleven,432,237,640,314
757,family mart_35.6917745_139.9251419_180.png,640,640,family_mart,1,222,431,324
758,family mart_35.6917745_139.9251419_180.png,640,640,family_mart,422,294,441,317
1526,family mart_35.6588388_139.8725544_180.png,640,640,family_mart,523,180,571,227
1527,family mart_35.6588388_139.8725544_180.png,640,640,family_mart,388,253,537,324
2467,v01_7eleven_353129526_1395374574_120.png,640,640,7_eleven,406,244,638,313
70,family mart_35.587944799999995_139.7091855_180.png,640,640,family_mart,1,288,304,324
71,family mart_35.587944799999995_139.7091855_180.png,640,640,family_mart,57,297,112,315
72,family mart_35.587944799999995_139.7091855_180.png,640,640,family_mart,461,320,490,353
1755,7-eleven_35.6012091_139.7396172_120.png,640,640,7_eleven,592,127,639,210
418,7-eleven_35.5689558_139.6369005_300.png,640,640,7_eleven,340,71,638,316
1167,7-eleven_35.5739557_139.7012392_240.png,640,640,7_eleven,220,212,613,302
2617,v01_7eleven_3544037429999999_1396441926_240.png,640,640,7_eleven,1,252,129,312
1453,family mart_35.609086600000005_139.6927986_120.png,640,640,family_mart,364,250,487,299
441,7-eleven_35.544981_139.4465588_300.png,640,640,7_eleven,280,227,511,320
442,7-eleven_35.544981_139.4465588_300.png,640,640,7_eleven,232,241,254,270
2168,v01_7eleven_3550137369999999_1395014119_180.png,640,640,7_eleven,2,287,342,327
2410,v01_7eleven_353815486_13993689369999998_300.png,640,640,7_eleven,290,310,434,328
1957,family mart_35.6286292_139.6897171_180.png,640,640,family_mart,268,173,639,303
411,family mart_35.6129653_139.5701405_120.png,640,640,family_mart,618,274,640,308
1581,family mart_35.474854799999996_139.5937731_0.png,640,640,family_mart,554,302,637,325
1325,family mart_35.6374664_139.69164890000002_60.png,640,640,family_mart,481,193,638,302
1326,family mart_35.6374664_139.69164890000002_60.png,640,640,family_mart,416,276,440,317
2505,v01_7eleven_3532340070000001_1394364318_300.png,640,640,7_eleven,242,184,267,222
484,7-eleven_35.6285398_139.7382159_120.png,640,640,7_eleven,4,246,278,312
485,7-eleven_35.6285398_139.7382159_120.png,640,640,7_eleven,99,369,156,446
486,7-eleven_35.6285398_139.7382159_120.png,640,640,7_eleven,228,267,258,313
430,family mart_35.519358399999994_140.07103830000003_120.png,640,640,family_mart,410,79,444,166
431,family mart_35.519358399999994_140.07103830000003_120.png,640,640,family_mart,192,306,361,323
1848,family mart_35.6069933_139.6227254_180.png,640,640,family_mart,297,229,454,319
1,7-eleven_35.7040431_139.6634282_60.png,640,640,7_eleven,1,162,277,298
2,7-eleven_35.7040431_139.6634282_60.png,640,640,7_eleven,96,329,128,365
3,7-eleven_35.7040431_139.6634282_60.png,640,640,7_eleven,556,110,616,176
2451,v01_7eleven_352952823_1400779593_120.png,640,640,7_eleven,1,271,184,321
2452,v01_7eleven_352952823_1400779593_120.png,640,640,7_eleven,41,281,69,312
1655,family mart_35.646634999999996_139.6712868_60.png,640,640,family_mart,1,165,258,315
1988,family mart_35.615511100000006_139.71582130000002_60.png,640,640,family_mart,258,279,414,336
2643,v01_7eleven_35497929_14011306499999998_0.png,640,640,7_eleven,395,279,415,315
954,7-eleven_35.595717_139.738845_240.png,640,640,7_eleven,389,262,639,320
1920,family mart_35.654787799999994_139.7972039_120.png,640,640,family_mart,202,96,637,298
1921,family mart_35.654787799999994_139.7972039_120.png,640,640,family_mart,262,177,490,274
2300,v01_7eleven_354750479_1396353464_300.png,640,640,7_eleven,515,269,638,319
1929,family mart_35.5739528_139.7086763_120.png,640,640,family_mart,385,293,637,328
1059,7-eleven_35.603357_139.712971_240.png,640,640,7_eleven,200,279,317,322
1060,7-eleven_35.603357_139.712971_240.png,640,640,7_eleven,187,234,211,263
1645,family mart_35.5496137_139.6337283_300.png,640,640,family_mart,516,264,598,296
1646,family mart_35.5496137_139.6337283_300.png,640,640,family_mart,570,86,604,158
1642,7-eleven_35.6035328_139.7082602_0.png,640,640,7_eleven,478,241,639,314
2396,v01_7eleven_354643414_1396130354_300.png,640,640,7_eleven,1,177,106,296
2630,v01_7eleven_3530204129999999_1395587325_60.png,640,640,7_eleven,1,2,137,150
2631,v01_7eleven_3530204129999999_1395587325_60.png,640,640,7_eleven,179,280,361,338
2641,v01_7eleven_35396569_139311004_300.png,640,640,7_eleven,112,212,149,247
984,family mart_35.560447499999995_139.7148447_0.png,640,640,family_mart,533,221,557,259
1249,family mart_35.6905055_139.706278_120.png,640,640,family_mart,30,207,623,268
1250,family mart_35.6905055_139.706278_120.png,640,640,family_mart,385,231,477,258
1251,family mart_35.6905055_139.706278_120.png,640,640,family_mart,568,312,606,354
1252,family mart_35.6905055_139.706278_120.png,640,640,family_mart,483,353,499,394
1434,family mart_35.6811681_139.7381139_300.png,640,640,family_mart,206,300,331,329
2272,v01_7eleven_353852987_1400314062_0.png,640,640,7_eleven,462,12,527,85
2351,v01_7eleven_353637679_1393271355_0.png,640,640,7_eleven,396,305,588,324
832,family mart_35.6072304_139.7313897_240.png,640,640,family_mart,73,226,309,317
